Tipo de Coeficiente;Coeficiente;p_value;inter_conf_inf;inter_conf_sup;AIC;BIC;store_id;Modelo
Probin1_moderate;1,721925943;0,542621088;-3,821129958;7,264981844;1728,669226;1769,238984;S0016; ARIMA(1,0,1)(0,0,0)[52] intercept
Probin1_high;-1,370964087;0,668393494;-7,643908814;4,901980639;1728,669226;1769,238984;S0016; ARIMA(1,0,1)(0,0,0)[52] intercept
Probin1_very_high;2,679073378;0,466987195;-4,53973455;9,897881306;1728,669226;1769,238984;S0016; ARIMA(1,0,1)(0,0,0)[52] intercept
Primavera;8,331065404;0,914105849;-143,0542192;159,71635;1728,669226;1769,238984;S0016; ARIMA(1,0,1)(0,0,0)[52] intercept
Verao;-37,5133385;0,550434127;-160,6478138;85,62113675;1728,669226;1769,238984;S0016; ARIMA(1,0,1)(0,0,0)[52] intercept
Outono;120,2293651;0,007219996;32,51553681;207,9431933;1728,669226;1769,238984;S0016; ARIMA(1,0,1)(0,0,0)[52] intercept
Feriados;-38,14925616;0,160194459;-91,38922905;15,09071672;1728,669226;1769,238984;S0016; ARIMA(1,0,1)(0,0,0)[52] intercept
ar.L1;0,97121854;3,89E-203;0,908624923;1,033812156;1728,669226;1769,238984;S0016; ARIMA(1,0,1)(0,0,0)[52] intercept
ma.L1;-0,747835691;4,18E-13;-0,950016154;-0,545655228;1728,669226;1769,238984;S0016; ARIMA(1,0,1)(0,0,0)[52] intercept
sigma2;18919,03556;1,34E-14;14104,85808;23733,21304;1728,669226;1769,238984;S0016; ARIMA(1,0,1)(0,0,0)[52] intercept
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
stock_inicial;0,084772295;0,438116147;-0,129511032;0,299055621;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
Probin1_very_low;2,099935879;0,390796129;-2,696057034;6,895928792;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
Probin1_low;-3,562741059;0,534222103;-14,79687496;7,671392847;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
Probin1_moderate;6,521263002;0,433290523;-9,790472581;22,83299859;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
Probin1_high;-0,926156361;0,860418538;-11,24928293;9,396970212;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
Probin1_very_high;8,201744852;0,153910167;-3,072278931;19,47576863;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
Primavera;34,12680851;0,810580994;-244,9464165;313,2000335;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
Verao;143,395515;0,345590175;-154,5866535;441,3776834;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
Outono;132,7377462;0,346838984;-143,812279;409,2877714;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
Feriados;64,21370543;0,216684094;-37,66197297;166,0893838;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
ma.L1;-0,497573226;8,82E-08;-0,679877429;-0,315269023;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
ma.L2;-0,09476113;0,346567636;-0,292078408;0,102556148;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
ma.L3;-0,197106263;0,088430194;-0,423855537;0,029643012;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
ma.S.L52;0,210968438;0,097587981;-0,038624253;0,460561128;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
sigma2;46664,0459;3,13E-13;34115,48269;59212,60912;1839,120372;1882,475609;S0080; ARIMA(0,1,3)(0,0,1)[52]          
