Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo;store_type;store_size;city_code
sigma2;1442134,642;187288,9027;2322,982522;2334,603621;S0095; ARIMA(1,0,0)(0,0,1)[52] intercept;ST02;44;ISTANBUL
intercept;8288,266606;1241,719921;2911,118307;2919,834131;S0097; ARIMA(1,0,0)(0,0,0)[52] intercept;ST04;45;ISTANBUL
ar.L1;0,168462478;0,051279905;2911,118307;2919,834131;S0097; ARIMA(1,0,0)(0,0,0)[52] intercept;ST04;45;ISTANBUL
sigma2;130501282,7;0,264873342;2911,118307;2919,834131;S0097; ARIMA(1,0,0)(0,0,0)[52] intercept;ST04;45;ISTANBUL
intercept;49,83550822;33,61236608;1723,363697;1737,890071;S0099; ARIMA(3,0,0)(0,0,0)[52] intercept;ST03;14;ISTANBUL
ar.L1;0,515949762;0,072276735;1723,363697;1737,890071;S0099; ARIMA(3,0,0)(0,0,0)[52] intercept;ST03;14;ISTANBUL
ar.L2;0,183563733;0,081591288;1723,363697;1737,890071;S0099; ARIMA(3,0,0)(0,0,0)[52] intercept;ST03;14;ISTANBUL
ar.L3;0,187066901;0,063806709;1723,363697;1737,890071;S0099; ARIMA(3,0,0)(0,0,0)[52] intercept;ST03;14;ISTANBUL
sigma2;19007,7991;1381,770233;1723,363697;1737,890071;S0099; ARIMA(3,0,0)(0,0,0)[52] intercept;ST03;14;ISTANBUL
intercept;1135,865981;125,3098874;2093,159828;2101,875653;S0102; ARIMA(1,0,0)(0,0,0)[52] intercept;ST04;27;ERZURUM
ar.L1;0,311575315;0,055988158;2093,159828;2101,875653;S0102; ARIMA(1,0,0)(0,0,0)[52] intercept;ST04;27;ERZURUM
sigma2;303087,5342;32085,89058;2093,159828;2101,875653;S0102; ARIMA(1,0,0)(0,0,0)[52] intercept;ST04;27;ERZURUM
ar.L1;-0,690468926;0,127004462;2322,589935;2337,079134;S0104; ARIMA(1,1,2)(1,0,0)[52]          ;ST04;47;ANKARA
ma.L1;-0,017588342;0,102451377;2322,589935;2337,079134;S0104; ARIMA(1,1,2)(1,0,0)[52]          ;ST04;47;ANKARA
ma.L2;-0,774239775;0,079782096;2322,589935;2337,079134;S0104; ARIMA(1,1,2)(1,0,0)[52]          ;ST04;47;ANKARA
