store_id;MAE;MSE;RMSE;MAPE
S0141;117,655353;32360,20847;179,889434;24,64587619
S0120;129,3030209;42385,52429;205,8774497;20,61145549
S0077;142,3848445;26074,71225;161,4766616;31,41256021
S0143;196,653361;81604,09998;285,6643134;23,09257026
S0068;414,6128795;619491,8193;787,0780262;37,69750435
S0039;321,3451872;342123,1771;584,9129654;26,78357801
S0016;217,8707764;93905,15928;306,4394871;25,53351949
S0080;384,022497;479186,2636;692,2328103;15,76404091
