Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo
ar.L1;0,442019881;0,106510945;1594,141756;1605,121484;S0062; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L2;0,205223577;0,113060943;1594,141756;1605,121484;S0062; ARIMA(2,0,0)(0,0,0)[0] intercept
sigma2;56993,57846;4411,785516;1594,141756;1605,121484;S0062; ARIMA(2,0,0)(0,0,0)[0] intercept
intercept;41,60382741;24,59579148;1231,899505;1242,879234;S0067; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,858970455;0,082333526;1231,899505;1242,879234;S0067; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,39487265;0,152157295;1231,899505;1242,879234;S0067; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;2437,695582;140,8229674;1231,899505;1242,879234;S0067; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,762224746;0,065405126;1021,602479;1027,074876;S0068; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;437,3913043;42,02491925;1021,602479;1027,074876;S0068; ARIMA(0,1,1)(0,0,0)[0]          
intercept;202,671857;41,24064123;649,9811983;656,0572534;S0071; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,496740303;0,113683215;649,9811983;656,0572534;S0071; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;5748,680504;911,9293069;649,9811983;656,0572534;S0071; ARIMA(1,0,0)(0,0,0)[0] intercept
intercept;567,888537;12,12760035;1297,126636;1308,106365;S0072; ARIMA(0,0,2)(0,0,0)[0] intercept
ma.L1;0,472369259;0,086557512;1297,126636;1308,106365;S0072; ARIMA(0,0,2)(0,0,0)[0] intercept
ma.L2;0,437728028;0,095466573;1297,126636;1308,106365;S0072; ARIMA(0,0,2)(0,0,0)[0] intercept
sigma2;4303,684768;499,2980642;1297,126636;1308,106365;S0072; ARIMA(0,0,2)(0,0,0)[0] intercept
intercept;24,47017485;15,66900652;1117,35748;1128,337209;S0073; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,890005558;0,071507669;1117,35748;1128,337209;S0073; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,578378072;0,10971467;1117,35748;1128,337209;S0073; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;901,5051885;104,4160063;1117,35748;1128,337209;S0073; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,428849234;0,088323528;690,8343454;695,18312;S0076; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;2265,812745;330,981833;690,8343454;695,18312;S0076; ARIMA(0,1,1)(0,0,0)[0]          
intercept;49,78120485;18,65066847;1080,84211;1094,56677;S0077; ARIMA(3,0,0)(0,0,0)[0] intercept
ar.L1;0,114380582;0,09529478;1080,84211;1094,56677;S0077; ARIMA(3,0,0)(0,0,0)[0] intercept
ar.L2;0,319796828;0,110337476;1080,84211;1094,56677;S0077; ARIMA(3,0,0)(0,0,0)[0] intercept
ar.L3;0,223205432;0,111414921;1080,84211;1094,56677;S0077; ARIMA(3,0,0)(0,0,0)[0] intercept
sigma2;644,9271758;50,32338247;1080,84211;1094,56677;S0077; ARIMA(3,0,0)(0,0,0)[0] intercept
intercept;65,28728089;36,45498809;1388,23253;1399,212258;S0080; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,895914316;0,053985798;1388,23253;1399,212258;S0080; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,2660568;0,101866268;1388,23253;1399,212258;S0080; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;9453,425333;1109,875667;1388,23253;1399,212258;S0080; ARIMA(1,0,1)(0,0,0)[0] intercept
intercept;187,4859817;34,96231229;1302,433463;1313,413191;S0083; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L1;0,084469747;0,092742043;1302,433463;1313,413191;S0083; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L2;-0,150552785;0,188569529;1302,433463;1313,413191;S0083; ARIMA(2,0,0)(0,0,0)[0] intercept
sigma2;4525,970019;518,0203446;1302,433463;1313,413191;S0083; ARIMA(2,0,0)(0,0,0)[0] intercept
intercept;3007,181589;98,12024226;1720,010042;1733,734702;S0085; ARIMA(0,0,3)(0,0,0)[0] intercept
ma.L1;0,596816685;0,08995745;1720,010042;1733,734702;S0085; ARIMA(0,0,3)(0,0,0)[0] intercept
ma.L2;0,34615337;0,108740406;1720,010042;1733,734702;S0085; ARIMA(0,0,3)(0,0,0)[0] intercept
